time,funding_rate
2026-04-18 00:00:00.001000+00:00,-8.098e-05
2026-04-18 08:00:00.006000+00:00,-7.082e-05
2026-04-18 16:00:00+00:00,-4.586e-05
2026-04-19 00:00:00.002000+00:00,-8.395e-05
2026-04-19 08:00:00.010000+00:00,-7.219e-05
2026-04-19 16:00:00.001000+00:00,-0.00012276
2026-04-20 00:00:00+00:00,-4.615e-05
2026-04-20 08:00:00+00:00,-4.778e-05
2026-04-20 16:00:00.001000+00:00,-2.745e-05
2026-04-21 00:00:00+00:00,-7.937e-05
2026-04-21 08:00:00.004000+00:00,-5.824e-05
2026-04-21 16:00:00.004000+00:00,-4.242e-05
2026-04-22 00:00:00.004000+00:00,-2.237e-05
2026-04-22 08:00:00+00:00,3.56e-05
2026-04-22 16:00:00+00:00,-7.49e-06
2026-04-23 00:00:00+00:00,-7.87e-05
2026-04-23 08:00:00+00:00,-3.553e-05
2026-04-23 16:00:00.004000+00:00,-6.696e-05
2026-04-24 00:00:00.006000+00:00,-3.829e-05
2026-04-24 08:00:00+00:00,-7.865e-05
2026-04-24 16:00:00+00:00,-3.152e-05
2026-04-25 00:00:00+00:00,-1.077e-05
2026-04-25 08:00:00.002000+00:00,-6.235e-05
2026-04-25 16:00:00.002000+00:00,-5.699e-05
2026-04-26 00:00:00.003000+00:00,2.41e-06
2026-04-26 08:00:00.007000+00:00,1.53e-06
2026-04-26 16:00:00.004000+00:00,1.95e-06
2026-04-27 00:00:00.004000+00:00,2.49e-06
2026-04-27 08:00:00+00:00,-8.659e-05
2026-04-27 16:00:00.002000+00:00,-5.678e-05
2026-04-28 00:00:00.001000+00:00,-3.951e-05
2026-04-28 08:00:00+00:00,-3.204e-05
2026-04-28 16:00:00.004000+00:00,5.242e-05
2026-04-29 00:00:00.006000+00:00,1.305e-05
2026-04-29 08:00:00.011000+00:00,-2.84e-05
2026-04-29 16:00:00.003000+00:00,3.571e-05
2026-04-30 00:00:00.002000+00:00,-4.22e-05
2026-04-30 08:00:00+00:00,-1.837e-05
2026-04-30 16:00:00+00:00,-2.904e-05
2026-05-01 00:00:00+00:00,-3.746e-05
2026-05-01 08:00:00.005000+00:00,-1.81e-05
2026-05-01 16:00:00+00:00,-3.143e-05
2026-05-02 00:00:00.006000+00:00,-8.22e-06
2026-05-02 08:00:00+00:00,-5.103e-05
2026-05-02 16:00:00.010000+00:00,-2.54e-05
2026-05-03 00:00:00.005000+00:00,2.29e-05
2026-05-03 08:00:00.003000+00:00,-1.398e-05
2026-05-03 16:00:00+00:00,7.03e-06
2026-05-04 00:00:00+00:00,4.304e-05
2026-05-04 08:00:00+00:00,-1.58e-06
2026-05-04 16:00:00.003000+00:00,-3.16e-05
2026-05-05 00:00:00+00:00,-3.83e-06
2026-05-05 08:00:00.011000+00:00,-4.626e-05
