time,open_interest,oi_value
2026-07-07 18:00:00+00:00,101275.015,6497774579.8955
2026-07-07 19:00:00+00:00,101227.087,6443954395.0808
2026-07-07 20:00:00+00:00,100370.329,6401990953.8373
2026-07-07 21:00:00+00:00,100132.745,6375348159.844961
2026-07-07 22:00:00+00:00,99832.44,6329336763.024
2026-07-07 23:00:00+00:00,99538.698,6322233803.7517805
2026-07-08 00:00:00+00:00,99418.277,6296278784.3424
2026-07-08 01:00:00+00:00,99331.949,6316002110.7752
2026-07-08 02:00:00+00:00,99387.536,6262733598.13542
2026-07-08 03:00:00+00:00,99870.271,6286973377.8294
2026-07-08 04:00:00+00:00,99665.097,6253087850.877
2026-07-08 05:00:00+00:00,99665.987,6256581207.813769
2026-07-08 06:00:00+00:00,99578.289,6234755999.5524
2026-07-08 07:00:00+00:00,99608.22,6238313406.27
2026-07-08 08:00:00+00:00,99309.051,6242287939.960185
2026-07-08 09:00:00+00:00,99656.036,6177328875.514
2026-07-08 10:00:00+00:00,100115.321,6210033223.2448
2026-07-08 11:00:00+00:00,100476.035,6243945625.180846
2026-07-08 12:00:00+00:00,100439.607,6254375284.978011
2026-07-08 13:00:00+00:00,100464.994,6222523831.266051
2026-07-08 14:00:00+00:00,101036.351,6256281524.321472
2026-07-08 15:00:00+00:00,101482.092,6278220066.2076
2026-07-08 16:00:00+00:00,101720.294,6274927934.998772
2026-07-08 17:00:00+00:00,102003.942,6333047344.1946
2026-07-08 18:00:00+00:00,101345.38,6290939707.987763
2026-07-08 19:00:00+00:00,101186.436,6290027062.8668165
2026-07-08 20:00:00+00:00,101114.772,6295486596.5376
2026-07-08 21:00:00+00:00,100907.024,6264131256.880596
2026-07-08 22:00:00+00:00,100703.969,6259990332.1687
2026-07-08 23:00:00+00:00,100550.431,6264768822.897629
2026-07-09 00:00:00+00:00,100362.595,6248314221.953
2026-07-09 01:00:00+00:00,100475.989,6239739773.6802
2026-07-09 02:00:00+00:00,99839.861,6178775055.188123
2026-07-09 03:00:00+00:00,100175.777,6186177930.351807
2026-07-09 04:00:00+00:00,100118.173,6201814739.5736065
2026-07-09 05:00:00+00:00,100222.514,6256387692.677277
2026-07-09 06:00:00+00:00,100211.712,6270383839.023204
2026-07-09 07:00:00+00:00,99351.494,6253425359.293472
2026-07-09 08:00:00+00:00,99269.478,6251356399.7808
2026-07-09 09:00:00+00:00,99321.036,6245017196.950181
2026-07-09 10:00:00+00:00,99408.433,6255275646.525
2026-07-09 11:00:00+00:00,99228.112,6227447438.624375
2026-07-09 12:00:00+00:00,99385.13,6237013218.28
2026-07-09 13:00:00+00:00,98794.349,6182956690.12322
2026-07-09 14:00:00+00:00,99433.303,6264131520.204138
2026-07-09 15:00:00+00:00,99051.773,6238886544.573096
2026-07-09 16:00:00+00:00,99050.826,6224402551.997637
2026-07-09 17:00:00+00:00,99153.36,6214708701.4249525
2026-07-09 18:00:00+00:00,100117.902,6318968904.819527
2026-07-09 19:00:00+00:00,100028.654,6321813540.068872
2026-07-09 20:00:00+00:00,100332.39,6342933429.888
2026-07-09 21:00:00+00:00,100239.463,6344025301.9681
2026-07-09 22:00:00+00:00,99942.076,6321226370.7164
2026-07-09 23:00:00+00:00,100301.043,6337917875.260804
2026-07-10 00:00:00+00:00,100146.651,6329051472.724009
2026-07-10 01:00:00+00:00,100051.296,6312058093.582232
2026-07-10 02:00:00+00:00,100252.678,6388762309.8348
2026-07-10 03:00:00+00:00,100743.926,6441098208.605199
2026-07-10 04:00:00+00:00,101189.065,6467691348.6985
2026-07-10 05:00:00+00:00,101366.704,6489415296.7168
2026-07-10 06:00:00+00:00,101407.658,6499253563.396404
2026-07-10 07:00:00+00:00,101509.667,6479636120.7109
2026-07-10 08:00:00+00:00,101815.783,6511740399.1263
2026-07-10 09:00:00+00:00,102445.108,6578644790.391448
2026-07-10 10:00:00+00:00,103258.167,6645807715.6089
2026-07-10 11:00:00+00:00,103326.829,6651571622.7289
2026-07-10 12:00:00+00:00,103461.983,6662395359.378855
2026-07-10 13:00:00+00:00,103806.489,6670731152.4055605
2026-07-10 14:00:00+00:00,104056.864,6707245311.28
2026-07-10 15:00:00+00:00,103518.401,6613672479.63622
2026-07-10 16:00:00+00:00,103582.526,6631618389.883641
2026-07-10 17:00:00+00:00,103555.345,6640340535.3657055
