decision_time,side,signal_entry,stop,target,size,zone,setup_type,entry_type,limit_price,valid_until,max_holding_minutes,entry_time,entry,entry_fee_bps,risk_price,mfe_r,trailed,exit,pnl,equity,exit_time,exit_reason,r_multiple,hold_minutes
2026-07-01 15:15:59.999000+00:00,long,59867.9,59867.9,61416.16630451044,0.24220639492543553,,continuation,limit,59867.9,2026-07-01T15:45:59.999000+00:00,1080.0,2026-07-01 15:16:59.999000+00:00,59867.9,2,1032.1775363402921,1.4087692754443024,True,59855.92642,-13.048899368857285,99986.95110063114,2026-07-02 00:02:59.999000+00:00,breakeven_stop,-0.052195597475429165,526.0
2026-07-02 00:02:59.999000+00:00,long,59892.4,59892.4,61109.0984824941,0.30817090020426435,,continuation,limit,59892.4,2026-07-02T00:32:59.999000+00:00,1080.0,2026-07-02 00:03:59.999000+00:00,59892.4,2,811.1323216627279,1.6421488386377616,True,61096.8766627976,358.0790987442638,100345.0301993754,2026-07-02 09:42:59.999000+00:00,target,1.4325033208938545,579.0
2026-07-02 09:42:59.999000+00:00,long,61080.2,61080.2,62033.16941706435,0.39486457436046435,,continuation,limit,61080.2,2026-07-02T10:12:59.999000+00:00,1080.0,2026-07-02 09:43:59.999000+00:00,61080.2,2,635.3129447095707,1.5694627479309804,True,62020.762783180944,354.3263405561219,100699.35653993151,2026-07-02 13:36:59.999000+00:00,target,1.4124320451231607,233.0
2026-07-02 14:00:59.999000+00:00,long,61878.6,60973.312760979956,63236.530858530066,0.2780867557818901,,continuation,limit,61878.6,2026-07-02T14:30:59.999000+00:00,1080.0,2026-07-02 14:01:59.999000+00:00,61878.6,2,905.2872390200428,0.3329330040333514,False,61512.695,-113.74779109561268,100585.6087488359,2026-07-02 22:01:59.999000+00:00,abort_no_momentum,-0.4518312529653838,480.0
2026-07-02 23:30:59.999000+00:00,long,61483.5,61483.5,62278.00271669078,0.47475738582645577,,continuation,limit,61483.5,2026-07-03T00:00:59.999000+00:00,1080.0,2026-07-02 23:31:59.999000+00:00,61483.5,2,529.6684777938572,1.628754657240058,True,62265.54711614745,350.6641811210312,100936.27292995693,2026-07-03 15:06:59.999000+00:00,target,1.3944904663117208,935.0
2026-07-03 20:15:59.999000+00:00,long,62393.9,62393.9,63196.73514681232,0.4714679283663969,,continuation,limit,62393.9,2026-07-03T20:45:59.999000+00:00,1080.0,2026-07-03 20:16:59.999000+00:00,62393.9,2,535.2234312082146,1.052457660025087,True,62381.421220000004,-26.47210882585144,100909.80082113108,2026-07-04 01:25:59.999000+00:00,breakeven_stop,-0.10490622670096564,309.0
2026-07-04 01:30:59.999000+00:00,long,62491.9,61910.773870076846,63363.589194884735,0.4341131624664456,,continuation,limit,62491.9,2026-07-04T02:00:59.999000+00:00,1080.0,2026-07-04 01:31:59.999000+00:00,62491.9,2,581.1261299231555,0.418669867817109,False,62417.514,-51.26578516865261,100858.53503596243,2026-07-04 09:31:59.999000+00:00,abort_no_momentum,-0.2032142953468888,480.0
2026-07-04 09:31:59.999000+00:00,long,62430.0,62430.0,63010.11674782956,0.651971362316161,,continuation,limit,62430.0,2026-07-04T10:01:59.999000+00:00,1080.0,2026-07-04 09:32:59.999000+00:00,62430.0,2,386.7444985530383,1.6538050376747209,True,62997.514724479995,341.3265458750981,101199.86158183753,2026-07-04 15:10:59.999000+00:00,target,1.3536843292573908,338.0
2026-07-04 15:15:59.999000+00:00,long,62749.9,62749.9,63344.26410501876,0.6384966348529972,,continuation,limit,62749.9,2026-07-04T15:45:59.999000+00:00,1080.0,2026-07-04 15:16:59.999000+00:00,62749.9,2,396.2427366791744,1.691135099701671,True,63331.59525219776,343.1788358165616,101543.04041765409,2026-07-04 17:51:59.999000+00:00,target,1.3564399415271555,155.0
2026-07-04 17:51:59.999000+00:00,long,63283.0,62818.697419157084,63979.45387126437,0.5467503553033695,,continuation,limit,63283.0,2026-07-04T18:21:59.999000+00:00,1080.0,2026-07-04 17:52:59.999000+00:00,63283.0,2,464.30258084291563,0.3596792412758524,False,62806.13367967326,-284.8164685700856,101258.223949084,2026-07-05 01:23:59.999000+00:00,stop,-1.1219536755985005,451.0
2026-07-05 23:15:59.999000+00:00,long,63935.0,63261.59318317578,64945.110225236334,0.37591772691957603,,continuation,limit,63935.0,2026-07-05T23:45:59.999000+00:00,1080.0,2026-07-05 23:16:59.999000+00:00,63934.9,2,673.3068168242244,0.0010396449025999299,False,63248.940864539145,-274.55925045786296,100983.66469862613,2026-07-06 03:22:59.999000+00:00,stop,-1.0847515094798141,246.0
2026-07-06 21:15:59.999000+00:00,long,64341.9,63392.256729324916,65766.36490601263,0.26584631254965496,,continuation,limit,64341.9,2026-07-06T21:45:59.999000+00:00,1080.0,2026-07-06 21:16:59.999000+00:00,64341.9,2,949.6432706750857,0.18501684308792593,False,63379.57827797905,-267.67530624526734,100715.98939238087,2026-07-07 02:34:59.999000+00:00,stop,-1.0602717064947593,318.0
2026-07-07 12:15:59.999000+00:00,long,63748.5,63130.310485924354,64675.78427111347,0.40730223943937865,,continuation,limit,63748.5,2026-07-07T12:45:59.999000+00:00,1080.0,2026-07-07 12:16:59.999000+00:00,63748.4,2,618.0895140756475,0.0025886218153876044,False,63117.68442382717,-274.9388269476528,100441.05056543322,2026-07-07 13:24:59.999000+00:00,stop,-1.0921138168704252,68.0
2026-07-09 08:45:59.999000+00:00,long,62984.5,62243.36368623605,64096.20447064593,0.33880761440271095,,continuation,limit,62984.5,2026-07-09T09:15:59.999000+00:00,1080.0,2026-07-09 08:46:59.999000+00:00,62984.5,2,741.1363137639491,0.33529594405914764,False,62663.66476,-123.58481130212427,100317.4657541311,2026-07-09 16:46:59.999000+00:00,abort_no_momentum,-0.4921685331103303,480.0
2026-07-09 18:00:59.999000+00:00,long,63149.4,63149.3,64317.02683732834,0.3221838386643779,,continuation,limit,63149.4,2026-07-09T18:30:59.999000+00:00,1080.0,2026-07-09 18:01:59.999000+00:00,63149.3,2,778.3178915522294,1.5913806086736755,True,64304.16343196088,357.65031575737345,100675.11606988848,2026-07-10 08:17:59.999000+00:00,target,1.426257191686827,856.0
2026-07-10 08:17:59.999000+00:00,long,64342.7,63861.444917661196,65064.58262350819,0.522982092888395,,continuation,limit,64342.7,2026-07-10T08:47:59.999000+00:00,1080.0,2026-07-10 08:18:59.999000+00:00,64342.7,2,481.255082338801,0.7008757151421531,False,63848.67262867767,-281.79334079966765,100393.32272908882,2026-07-10 14:32:59.999000+00:00,stop,-1.1196146646766025,374.0
2026-07-10 14:32:59.999000+00:00,long,63880.4,63221.242930697816,64869.13560395328,0.38076403714887863,,continuation,limit,63880.4,2026-07-10T15:02:59.999000+00:00,1080.0,2026-07-10 14:33:59.999000+00:00,63880.3,2,659.0570693021873,0.49737726104216107,False,64087.18,61.70675312775927,100455.02948221657,2026-07-10 22:33:59.999000+00:00,abort_no_momentum,0.24589729410168928,480.0
2026-07-10 23:15:59.999000+00:00,long,64115.6,63658.09483093185,64801.85775360223,0.5489283852618725,,continuation,limit,64115.6,2026-07-10T23:45:59.999000+00:00,1080.0,2026-07-10 23:16:59.999000+00:00,64115.6,2,457.5051690681503,0.37835638087449336,False,64158.76568,-0.9533913570481012,100454.07609085953,2026-07-11 07:16:59.999000+00:00,abort_no_momentum,-0.003796291184074105,480.0
2026-07-11 20:30:59.999000+00:00,long,64328.7,64027.07192204981,64781.142116925286,0.8325988480045291,,continuation,limit,64328.7,2026-07-11T21:00:59.999000+00:00,1080.0,2026-07-11 20:31:59.999000+00:00,64328.7,2,301.62807795019035,0.36535060246679807,False,64014.2665076654,-299.15806606961985,100154.9180247899,2026-07-11 23:21:59.999000+00:00,stop,-1.1912232045179927,170.0
2026-07-14 12:45:59.999000+00:00,long,63674.0,63674.0,64574.68993746759,0.41699249316469345,,continuation,limit,63674.0,2026-07-14T13:15:59.999000+00:00,1080.0,2026-07-14 12:46:59.999000+00:00,63674.0,2,600.4599583117233,0.8130433898917079,True,63661.2652,-23.89376685079016,100131.02425793912,2026-07-14 13:47:59.999000+00:00,breakeven_stop,-0.0954272334180383,61.0
2026-07-15 05:15:59.999000+00:00,long,64608.6,64608.6,65355.946119907785,0.5024329838142509,,continuation,limit,64608.6,2026-07-15T05:45:59.999000+00:00,1080.0,2026-07-15 05:16:59.999000+00:00,64608.6,2,498.2307466051934,1.3074263369702914,True,64595.67828,-29.212096361086694,100101.81216157804,2026-07-15 07:23:59.999000+00:00,breakeven_stop,-0.116695486049701,127.0
2026-07-15 08:00:59.999000+00:00,long,64579.8,64579.8,65469.21372598185,0.4220553209829585,,continuation,limit,64579.8,2026-07-15T08:30:59.999000+00:00,1080.0,2026-07-15 08:02:59.999000+00:00,64579.8,2,592.9424839878993,1.5316831303633347,True,65456.11988323665,350.59116811577945,100452.40332969381,2026-07-15 13:17:59.999000+00:00,target,1.4009383468498118,315.0
2026-07-15 13:17:59.999000+00:00,long,65485.0,64852.57604136636,66433.63593795046,0.39709281233874355,,continuation,limit,65485.0,2026-07-15T13:47:59.999000+00:00,1080.0,2026-07-15 13:18:59.999000+00:00,65485.0,2,632.4239586336407,0.10356976377288664,False,64839.605526158084,-274.35590190362905,100178.04742779018,2026-07-15 13:52:59.999000+00:00,stop,-1.092481186351189,34.0
2026-07-18 13:15:59.999000+00:00,long,63999.9,63999.9,64351.40370386673,1.0687445785682201,,continuation,limit,63999.9,2026-07-18T13:45:59.999000+00:00,1080.0,2026-07-18 13:16:59.999000+00:00,63999.9,2,234.33580257781432,1.8503361211994735,True,64338.533423125955,313.85199646258116,100491.89942425277,2026-07-18 17:20:59.999000+00:00,target,1.2531767369046194,244.0
2026-07-18 18:30:59.999000+00:00,long,64509.4,64509.4,65017.56876324592,0.7415737646561651,,continuation,limit,64509.4,2026-07-18T19:00:59.999000+00:00,1080.0,2026-07-18 18:31:59.999000+00:00,64509.4,2,338.7791754972859,1.297010063723712,True,64496.498120000004,-43.04984690447624,100448.84957734829,2026-07-19 09:38:59.999000+00:00,breakeven_stop,-0.1713564860496058,907.0
2026-07-19 09:38:59.999000+00:00,long,64515.9,64261.098061311655,64898.102908032524,0.9855581367868765,,continuation,limit,64515.9,2026-07-19T10:08:59.999000+00:00,1080.0,2026-07-19 09:39:59.999000+00:00,64515.9,2,254.80193868834613,0.6350030177670539,False,64248.2458416994,-308.16575832921365,100140.68381901908,2026-07-19 12:29:59.999000+00:00,stop,-1.2271549534946868,170.0
2026-07-20 18:15:59.999000+00:00,long,65711.9,64861.74170453987,66987.13744319018,0.294476582636945,,continuation,limit,65711.9,2026-07-20T18:45:59.999000+00:00,1080.0,2026-07-20 18:16:59.999000+00:00,65711.9,2,850.1582954601254,0.042345055258816204,False,65182.9608,-169.22775896010475,99971.45606005898,2026-07-21 02:16:59.999000+00:00,abort_no_momentum,-0.6759600693997428,480.0
