close_time,open,high,low,close,volume,taker_buy_volume,trades
2026-06-18 00:00:59.999000+00:00,64472.9,64495.6,64455.4,64495.6,62.27,37.665,2398
2026-06-18 00:01:59.999000+00:00,64495.6,64533.0,64495.5,64520.2,130.211,100.466,3605
2026-06-18 00:02:59.999000+00:00,64520.1,64558.6,64500.0,64548.5,128.279,91.994,3602
2026-06-18 00:03:59.999000+00:00,64548.4,64555.0,64532.3,64532.4,71.567,38.415,1462
2026-06-18 00:04:59.999000+00:00,64532.3,64591.7,64522.6,64583.4,153.145,93.111,3189
2026-06-18 00:05:59.999000+00:00,64583.4,64612.5,64583.3,64595.7,153.415,103.085,3089
2026-06-18 00:06:59.999000+00:00,64595.6,64595.7,64558.0,64575.8,102.406,57.075,2117
2026-06-18 00:07:59.999000+00:00,64575.9,64596.0,64575.9,64580.5,49.309,29.355,1431
2026-06-18 00:08:59.999000+00:00,64580.6,64590.0,64535.9,64536.0,43.942,18.803,1849
2026-06-18 00:09:59.999000+00:00,64535.9,64572.7,64531.0,64572.6,30.099,18.727,1354
2026-06-18 00:10:59.999000+00:00,64572.7,64612.0,64554.0,64610.6,44.976,31.578,2079
2026-06-18 00:11:59.999000+00:00,64610.5,64610.6,64575.8,64602.8,39.511,19.703,1723
2026-06-18 00:12:59.999000+00:00,64602.9,64608.1,64582.5,64595.0,95.419,60.171,2380
2026-06-18 00:13:59.999000+00:00,64595.1,64630.0,64582.2,64622.1,43.62,28.601,1746
2026-06-18 00:14:59.999000+00:00,64622.1,64622.1,64600.1,64604.7,16.882,7.375,775
2026-06-18 00:15:59.999000+00:00,64604.8,64653.3,64604.8,64621.1,145.626,100.353,2766
2026-06-18 00:16:59.999000+00:00,64621.0,64621.0,64600.1,64604.7,32.382,14.241,1342
2026-06-18 00:17:59.999000+00:00,64604.8,64625.8,64591.9,64625.8,103.225,75.683,2538
2026-06-18 00:18:59.999000+00:00,64625.7,64675.5,64625.7,64643.2,143.31,95.622,2695
2026-06-18 00:19:59.999000+00:00,64643.3,64663.3,64624.0,64653.9,40.707,20.578,1833
2026-06-18 00:20:59.999000+00:00,64653.9,64653.9,64622.5,64627.6,32.541,10.652,951
2026-06-18 00:21:59.999000+00:00,64627.6,64676.5,64627.6,64636.6,74.597,39.34,2524
2026-06-18 00:22:59.999000+00:00,64636.7,64636.7,64600.0,64600.0,30.395,6.194,1103
2026-06-18 00:23:59.999000+00:00,64600.0,64630.7,64600.0,64624.7,31.883,14.833,1154
2026-06-18 00:24:59.999000+00:00,64624.8,64624.8,64600.7,64600.7,20.377,2.891,661
2026-06-18 00:25:59.999000+00:00,64600.7,64600.8,64526.2,64526.3,67.079,11.671,2720
2026-06-18 00:26:59.999000+00:00,64526.3,64542.1,64510.0,64523.9,46.693,19.507,2310
2026-06-18 00:27:59.999000+00:00,64524.0,64600.0,64523.9,64587.9,37.072,28.434,1783
2026-06-18 00:28:59.999000+00:00,64587.9,64587.9,64540.9,64550.3,74.39,28.636,1960
2026-06-18 00:29:59.999000+00:00,64550.3,64564.7,64537.7,64560.5,47.125,14.406,1127
2026-06-18 00:30:59.999000+00:00,64560.6,64606.6,64550.4,64604.0,79.656,47.261,2015
2026-06-18 00:31:59.999000+00:00,64604.1,64671.2,64590.0,64640.1,33.29,22.417,2451
2026-06-18 00:32:59.999000+00:00,64640.0,64657.9,64628.0,64636.8,38.661,19.215,1800
2026-06-18 00:33:59.999000+00:00,64636.7,64636.7,64570.8,64592.5,47.778,20.304,2460
2026-06-18 00:34:59.999000+00:00,64592.5,64596.6,64567.6,64589.8,38.346,19.246,1669
2026-06-18 00:35:59.999000+00:00,64589.8,64594.2,64550.0,64550.0,30.738,10.348,1692
2026-06-18 00:36:59.999000+00:00,64550.1,64551.8,64511.4,64511.5,45.823,9.175,1721
2026-06-18 00:37:59.999000+00:00,64511.5,64541.0,64504.7,64535.8,42.507,16.994,1914
2026-06-18 00:38:59.999000+00:00,64535.8,64549.8,64514.5,64517.5,28.38,15.488,1641
2026-06-18 00:39:59.999000+00:00,64517.4,64524.0,64480.4,64524.0,83.656,45.249,2703
2026-06-18 00:40:59.999000+00:00,64524.0,64524.0,64482.6,64482.6,33.371,12.45,1370
2026-06-18 00:41:59.999000+00:00,64482.6,64516.9,64470.4,64502.3,57.573,29.503,1767
2026-06-18 00:42:59.999000+00:00,64502.2,64520.0,64492.8,64519.9,28.835,10.749,1576
2026-06-18 00:43:59.999000+00:00,64520.0,64537.0,64504.5,64537.0,24.602,16.51,1159
2026-06-18 00:44:59.999000+00:00,64537.0,64562.7,64536.9,64554.3,18.811,10.875,823
2026-06-18 00:45:59.999000+00:00,64554.4,64586.9,64554.3,64584.2,26.095,17.846,1609
2026-06-18 00:46:59.999000+00:00,64584.2,64584.2,64560.5,64569.9,30.293,13.422,1387
2026-06-18 00:47:59.999000+00:00,64569.9,64587.6,64564.5,64583.7,24.962,12.202,946
2026-06-18 00:48:59.999000+00:00,64583.7,64588.0,64564.5,64585.4,22.166,7.515,1273
2026-06-18 00:49:59.999000+00:00,64585.4,64585.4,64576.9,64577.0,14.926,4.991,724
2026-06-18 00:50:59.999000+00:00,64577.0,64577.0,64543.6,64559.3,112.093,17.042,1310
2026-06-18 00:51:59.999000+00:00,64559.3,64559.4,64500.0,64533.9,23.168,6.053,2069
2026-06-18 00:52:59.999000+00:00,64533.9,64534.0,64500.0,64500.1,31.049,11.27,1131
2026-06-18 00:53:59.999000+00:00,64500.0,64512.1,64489.1,64510.5,36.489,10.923,1087
2026-06-18 00:54:59.999000+00:00,64510.5,64510.5,64500.4,64503.0,15.547,4.552,505
2026-06-18 00:55:59.999000+00:00,64503.1,64503.1,64461.0,64469.8,57.855,16.21,1537
2026-06-18 00:56:59.999000+00:00,64469.8,64469.9,64435.2,64437.0,79.999,22.048,2282
2026-06-18 00:57:59.999000+00:00,64437.0,64448.8,64422.4,64440.6,91.053,24.809,2078
2026-06-18 00:58:59.999000+00:00,64440.6,64444.8,64429.0,64443.9,29.079,13.503,891
2026-06-18 00:59:59.999000+00:00,64444.0,64448.1,64432.8,64432.8,48.56,11.565,1478
2026-06-18 01:00:59.999000+00:00,64432.8,64491.3,64429.1,64491.3,85.094,50.706,2725
2026-06-18 01:01:59.999000+00:00,64491.2,64536.1,64491.2,64536.0,57.739,43.576,2436
2026-06-18 01:02:59.999000+00:00,64536.0,64574.4,64536.0,64555.0,44.517,17.815,1998
2026-06-18 01:03:59.999000+00:00,64555.0,64635.3,64545.5,64625.7,163.437,106.691,3081
2026-06-18 01:04:59.999000+00:00,64625.7,64629.2,64590.4,64600.7,50.206,18.509,1589
2026-06-18 01:05:59.999000+00:00,64600.8,64620.0,64590.5,64605.1,94.247,58.328,3041
2026-06-18 01:06:59.999000+00:00,64605.2,64605.2,64572.8,64586.9,48.935,22.616,1424
2026-06-18 01:07:59.999000+00:00,64586.9,64660.4,64586.8,64660.4,99.567,69.668,3388
2026-06-18 01:08:59.999000+00:00,64660.5,64730.1,64652.5,64708.7,243.671,176.905,5536
2026-06-18 01:09:59.999000+00:00,64708.7,64708.7,64690.4,64695.9,144.874,66.543,2085
2026-06-18 01:10:59.999000+00:00,64695.8,64778.0,64693.5,64750.0,257.253,159.667,6012
2026-06-18 01:11:59.999000+00:00,64750.0,64775.0,64742.4,64764.7,146.698,85.262,2942
2026-06-18 01:12:59.999000+00:00,64764.7,64780.0,64741.5,64754.8,215.444,132.764,3682
2026-06-18 01:13:59.999000+00:00,64754.8,64754.8,64723.8,64736.0,99.369,34.066,2238
2026-06-18 01:14:59.999000+00:00,64736.1,64736.1,64689.2,64703.7,66.188,13.58,1816
2026-06-18 01:15:59.999000+00:00,64703.8,64713.5,64663.6,64671.5,39.91,18.377,1963
2026-06-18 01:16:59.999000+00:00,64671.5,64687.8,64656.7,64669.9,68.606,31.797,2029
2026-06-18 01:17:59.999000+00:00,64670.0,64699.6,64668.4,64680.9,49.401,29.641,1666
2026-06-18 01:18:59.999000+00:00,64680.7,64682.4,64613.5,64629.9,61.473,18.189,2594
2026-06-18 01:19:59.999000+00:00,64630.0,64646.4,64605.4,64610.6,32.349,11.013,1302
2026-06-18 01:20:59.999000+00:00,64610.6,64624.7,64606.8,64617.2,38.201,15.04,1304
2026-06-18 01:21:59.999000+00:00,64617.2,64663.1,64617.1,64654.6,48.216,31.046,1571
2026-06-18 01:22:59.999000+00:00,64654.6,64677.0,64654.6,64658.0,46.086,17.047,1201
2026-06-18 01:23:59.999000+00:00,64658.1,64658.1,64624.5,64655.9,16.85,7.019,1171
2026-06-18 01:24:59.999000+00:00,64655.9,64656.0,64612.7,64612.7,19.286,4.868,1031
2026-06-18 01:25:59.999000+00:00,64612.8,64630.1,64584.6,64605.4,115.03,20.803,2383
2026-06-18 01:26:59.999000+00:00,64605.4,64635.7,64605.4,64628.6,23.136,11.403,1073
2026-06-18 01:27:59.999000+00:00,64628.6,64655.7,64628.6,64636.6,36.042,10.125,1444
2026-06-18 01:28:59.999000+00:00,64636.6,64645.3,64636.1,64637.5,15.339,7.464,583
2026-06-18 01:29:59.999000+00:00,64637.4,64645.3,64621.0,64629.6,20.641,4.871,844
2026-06-18 01:30:59.999000+00:00,64629.5,64722.0,64629.5,64700.7,75.153,58.166,2178
2026-06-18 01:31:59.999000+00:00,64700.7,64716.7,64670.5,64707.6,48.166,28.289,1939
2026-06-18 01:32:59.999000+00:00,64707.7,64707.7,64656.0,64656.0,54.472,20.435,1957
2026-06-18 01:33:59.999000+00:00,64656.0,64693.2,64656.0,64683.4,47.932,12.186,1696
2026-06-18 01:34:59.999000+00:00,64683.3,64683.4,64636.2,64642.3,24.013,9.446,1259
2026-06-18 01:35:59.999000+00:00,64642.2,64642.3,64616.3,64619.2,22.164,8.905,1293
2026-06-18 01:36:59.999000+00:00,64619.2,64619.9,64590.9,64593.4,38.56,10.509,1446
2026-06-18 01:37:59.999000+00:00,64593.3,64612.0,64580.0,64580.0,71.884,19.888,1970
2026-06-18 01:38:59.999000+00:00,64580.0,64592.6,64580.0,64592.3,30.504,16.409,1040
2026-06-18 01:39:59.999000+00:00,64592.3,64602.8,64580.0,64599.9,32.491,21.642,1189
2026-06-18 01:40:59.999000+00:00,64600.0,64600.0,64578.1,64578.1,34.192,5.347,1112
2026-06-18 01:41:59.999000+00:00,64578.1,64602.8,64575.4,64585.5,32.519,23.727,1161
2026-06-18 01:42:59.999000+00:00,64585.5,64590.0,64570.1,64590.0,66.765,37.639,1283
2026-06-18 01:43:59.999000+00:00,64589.9,64602.8,64586.4,64594.7,38.434,26.524,1145
2026-06-18 01:44:59.999000+00:00,64594.7,64594.7,64584.8,64585.7,19.22,8.382,507
2026-06-18 01:45:59.999000+00:00,64585.7,64585.7,64541.5,64541.5,56.569,6.302,1549
2026-06-18 01:46:59.999000+00:00,64541.4,64541.5,64508.0,64510.5,39.556,12.68,1621
2026-06-18 01:47:59.999000+00:00,64510.5,64544.7,64510.5,64544.6,54.971,29.835,1552
2026-06-18 01:48:59.999000+00:00,64544.7,64552.0,64500.0,64500.0,58.5,32.9,2080
2026-06-18 01:49:59.999000+00:00,64500.0,64509.5,64480.6,64488.0,61.344,33.416,1627
2026-06-18 01:50:59.999000+00:00,64488.0,64490.7,64470.3,64470.3,51.079,16.914,1320
2026-06-18 01:51:59.999000+00:00,64470.4,64470.4,64444.5,64444.5,85.845,23.071,2264
2026-06-18 01:52:59.999000+00:00,64444.5,64458.5,64444.1,64458.5,39.071,17.572,1066
2026-06-18 01:53:59.999000+00:00,64458.4,64490.7,64458.4,64490.7,39.265,30.629,946
2026-06-18 01:54:59.999000+00:00,64490.6,64497.1,64489.6,64489.7,30.927,14.0,757
2026-06-18 01:55:59.999000+00:00,64489.7,64517.6,64471.6,64517.6,31.324,18.431,1295
2026-06-18 01:56:59.999000+00:00,64517.6,64530.8,64510.9,64522.6,25.209,13.752,1179
2026-06-18 01:57:59.999000+00:00,64522.5,64522.5,64505.1,64513.2,14.133,6.372,709
2026-06-18 01:58:59.999000+00:00,64513.3,64528.0,64513.2,64518.6,20.748,12.034,787
2026-06-18 01:59:59.999000+00:00,64518.6,64531.0,64513.3,64520.9,18.477,8.354,1013
2026-06-18 02:00:59.999000+00:00,64520.9,64565.9,64520.9,64556.4,48.707,25.818,2109
2026-06-18 02:01:59.999000+00:00,64556.5,64585.2,64550.2,64558.6,32.888,15.833,1546
2026-06-18 02:02:59.999000+00:00,64558.7,64582.0,64558.6,64578.7,54.085,43.313,1409
2026-06-18 02:03:59.999000+00:00,64578.7,64595.9,64574.1,64580.9,27.962,18.253,1154
2026-06-18 02:04:59.999000+00:00,64580.9,64613.9,64580.9,64610.1,37.766,27.837,1393
2026-06-18 02:05:59.999000+00:00,64610.1,64619.0,64598.4,64618.6,31.228,20.306,1636
2026-06-18 02:06:59.999000+00:00,64618.6,64650.0,64618.6,64624.1,53.47,20.997,1858
2026-06-18 02:07:59.999000+00:00,64624.0,64630.9,64570.0,64574.0,44.02,19.053,1512
2026-06-18 02:08:59.999000+00:00,64574.0,64581.3,64560.0,64562.0,29.791,13.184,1521
2026-06-18 02:09:59.999000+00:00,64562.0,64583.5,64558.0,64560.0,28.654,7.802,1409
2026-06-18 02:10:59.999000+00:00,64560.0,64560.0,64525.8,64525.8,27.884,10.183,1050
2026-06-18 02:11:59.999000+00:00,64525.8,64525.9,64500.5,64525.5,40.364,12.748,1635
2026-06-18 02:12:59.999000+00:00,64525.5,64531.2,64518.7,64521.5,16.305,10.216,832
2026-06-18 02:13:59.999000+00:00,64521.5,64527.8,64500.0,64500.1,23.669,9.537,1213
2026-06-18 02:14:59.999000+00:00,64500.1,64544.7,64500.0,64541.5,166.136,148.008,2018
2026-06-18 02:15:59.999000+00:00,64541.5,64541.5,64492.6,64505.9,185.845,47.396,3739
2026-06-18 02:16:59.999000+00:00,64505.9,64505.9,64453.2,64459.0,60.271,17.564,2320
2026-06-18 02:17:59.999000+00:00,64459.1,64485.0,64459.0,64480.9,22.918,10.84,1085
2026-06-18 02:18:59.999000+00:00,64481.0,64528.2,64480.9,64519.3,37.098,23.949,1499
2026-06-18 02:19:59.999000+00:00,64519.4,64528.0,64510.6,64528.0,29.972,7.258,1255
2026-06-18 02:20:59.999000+00:00,64528.0,64613.9,64528.0,64613.9,82.774,69.729,2538
2026-06-18 02:21:59.999000+00:00,64613.8,64627.8,64606.7,64606.8,44.826,24.409,1924
2026-06-18 02:22:59.999000+00:00,64606.8,64630.4,64601.5,64618.5,61.41,47.67,1865
2026-06-18 02:23:59.999000+00:00,64618.4,64645.2,64618.4,64645.2,30.274,18.821,1143
2026-06-18 02:24:59.999000+00:00,64645.2,64681.9,64645.1,64676.5,77.026,62.094,2479
2026-06-18 02:25:59.999000+00:00,64676.5,64715.0,64676.4,64710.0,66.251,50.732,2231
2026-06-18 02:26:59.999000+00:00,64710.1,64720.8,64703.2,64718.0,43.962,20.864,1345
2026-06-18 02:27:59.999000+00:00,64717.9,64718.0,64675.1,64691.3,71.906,21.856,1894
2026-06-18 02:28:59.999000+00:00,64691.3,64691.4,64662.1,64675.0,51.673,21.053,1584
2026-06-18 02:29:59.999000+00:00,64675.0,64680.8,64669.9,64672.7,31.306,15.997,671
2026-06-18 02:30:59.999000+00:00,64672.6,64704.2,64672.6,64687.7,41.492,30.256,1636
2026-06-18 02:31:59.999000+00:00,64687.7,64696.2,64669.3,64696.1,33.848,16.235,1616
2026-06-18 02:32:59.999000+00:00,64696.2,64714.6,64680.2,64680.2,44.146,26.382,1367
2026-06-18 02:33:59.999000+00:00,64680.2,64695.0,64670.0,64687.5,38.769,24.23,1387
2026-06-18 02:34:59.999000+00:00,64687.6,64687.6,64645.6,64655.1,36.893,10.214,1531
2026-06-18 02:35:59.999000+00:00,64655.1,64670.9,64649.1,64662.1,18.405,12.904,904
2026-06-18 02:36:59.999000+00:00,64662.1,64677.2,64662.1,64669.4,20.054,9.23,794
2026-06-18 02:37:59.999000+00:00,64669.4,64708.8,64669.3,64708.8,29.274,13.666,1114
