close_time,open,high,low,close,volume,taker_buy_volume,trades
2026-07-17 00:00:59.999000+00:00,63801.1,63819.2,63777.3,63813.5,195.059,61.731,3139
2026-07-17 00:01:59.999000+00:00,63813.6,63815.0,63755.0,63762.5,134.205,55.314,3153
2026-07-17 00:02:59.999000+00:00,63762.7,63787.2,63755.0,63755.9,65.844,29.575,2830
2026-07-17 00:03:59.999000+00:00,63756.0,63798.0,63755.0,63786.5,70.08,45.384,2226
2026-07-17 00:04:59.999000+00:00,63786.5,63786.5,63755.0,63779.4,110.293,61.176,2869
2026-07-17 00:05:59.999000+00:00,63779.5,63779.5,63742.8,63748.1,102.98,42.505,3978
2026-07-17 00:06:59.999000+00:00,63748.2,63748.2,63729.6,63741.1,53.032,34.074,1703
2026-07-17 00:07:59.999000+00:00,63741.1,63741.2,63722.2,63722.2,53.082,14.134,1348
2026-07-17 00:08:59.999000+00:00,63722.2,63770.8,63715.7,63764.4,136.472,89.274,3300
2026-07-17 00:09:59.999000+00:00,63764.4,63764.4,63718.3,63725.2,157.564,101.533,3180
2026-07-17 00:10:59.999000+00:00,63725.2,63760.0,63725.1,63759.9,60.307,40.085,2577
2026-07-17 00:11:59.999000+00:00,63760.0,63793.3,63760.0,63793.3,39.201,30.955,2039
2026-07-17 00:12:59.999000+00:00,63793.3,63800.0,63780.4,63796.0,42.519,21.966,1629
2026-07-17 00:13:59.999000+00:00,63795.9,63796.0,63753.8,63753.9,19.666,6.128,1096
2026-07-17 00:14:59.999000+00:00,63753.8,63768.3,63751.6,63768.3,38.992,19.111,1043
2026-07-17 00:15:59.999000+00:00,63768.2,63811.8,63751.6,63811.8,43.879,25.169,1810
2026-07-17 00:16:59.999000+00:00,63811.8,63842.9,63811.8,63842.4,66.247,58.378,1843
2026-07-17 00:17:59.999000+00:00,63842.5,63890.4,63833.0,63880.6,80.759,58.76,3556
2026-07-17 00:18:59.999000+00:00,63880.5,63880.6,63794.4,63794.4,72.742,20.548,2219
2026-07-17 00:19:59.999000+00:00,63794.4,63820.0,63794.4,63815.0,28.338,17.78,1003
2026-07-17 00:20:59.999000+00:00,63815.1,63815.1,63804.0,63807.8,12.844,7.891,944
2026-07-17 00:21:59.999000+00:00,63807.4,63807.4,63762.1,63780.4,51.896,28.08,2517
2026-07-17 00:22:59.999000+00:00,63780.5,63793.0,63762.1,63775.0,62.023,22.128,1775
2026-07-17 00:23:59.999000+00:00,63775.1,63801.9,63769.9,63797.5,28.122,19.847,1518
2026-07-17 00:24:59.999000+00:00,63797.5,63814.0,63767.3,63767.4,18.305,8.319,1285
2026-07-17 00:25:59.999000+00:00,63767.4,63767.4,63749.0,63749.0,121.418,23.802,1661
2026-07-17 00:26:59.999000+00:00,63749.1,63762.3,63749.0,63757.0,61.235,41.472,1173
2026-07-17 00:27:59.999000+00:00,63757.0,63757.0,63740.8,63741.3,223.827,8.814,994
2026-07-17 00:28:59.999000+00:00,63741.3,63763.6,63741.3,63762.8,39.729,33.953,1107
2026-07-17 00:29:59.999000+00:00,63762.8,63779.5,63762.7,63772.1,48.752,39.695,869
2026-07-17 00:30:59.999000+00:00,63772.1,63779.5,63738.0,63738.0,128.251,14.482,1344
2026-07-17 00:31:59.999000+00:00,63738.1,63738.1,63670.2,63692.4,694.582,111.287,6724
2026-07-17 00:32:59.999000+00:00,63692.4,63700.6,63668.0,63678.4,154.302,74.811,3444
2026-07-17 00:33:59.999000+00:00,63678.4,63678.4,63666.0,63678.0,132.817,70.448,2895
2026-07-17 00:34:59.999000+00:00,63678.1,63697.2,63665.0,63674.2,142.423,85.318,2721
2026-07-17 00:35:59.999000+00:00,63674.2,63685.0,63652.0,63660.0,210.487,67.638,3006
2026-07-17 00:36:59.999000+00:00,63660.0,63669.9,63601.0,63601.1,408.508,109.894,6816
2026-07-17 00:37:59.999000+00:00,63601.2,63620.0,63580.0,63615.9,388.372,127.202,6581
2026-07-17 00:38:59.999000+00:00,63616.0,63706.5,63610.8,63703.9,142.097,108.143,4669
2026-07-17 00:39:59.999000+00:00,63703.9,63715.0,63636.5,63649.5,95.692,58.872,2918
2026-07-17 00:40:59.999000+00:00,63649.6,63712.8,63643.1,63712.4,86.947,39.97,2241
2026-07-17 00:41:59.999000+00:00,63712.3,63712.4,63621.5,63639.8,130.563,25.524,3583
2026-07-17 00:42:59.999000+00:00,63639.7,63728.4,63639.7,63728.3,43.29,31.84,2108
2026-07-17 00:43:59.999000+00:00,63728.4,63734.4,63706.9,63710.6,69.577,49.107,2409
2026-07-17 00:44:59.999000+00:00,63710.6,63768.7,63710.6,63765.1,67.552,54.222,2225
2026-07-17 00:45:59.999000+00:00,63765.1,63838.6,63765.0,63788.5,176.947,135.063,5153
2026-07-17 00:46:59.999000+00:00,63788.4,63827.6,63787.1,63819.6,108.266,48.989,2602
2026-07-17 00:47:59.999000+00:00,63819.6,63819.6,63789.6,63810.0,45.497,31.211,1706
2026-07-17 00:48:59.999000+00:00,63810.0,63825.8,63800.5,63818.9,62.83,49.306,1550
2026-07-17 00:49:59.999000+00:00,63818.8,63835.8,63800.0,63827.6,39.091,24.186,1447
2026-07-17 00:50:59.999000+00:00,63827.6,63827.6,63791.2,63810.1,66.523,33.769,2084
2026-07-17 00:51:59.999000+00:00,63810.0,63828.5,63802.0,63809.7,61.833,38.965,1555
2026-07-17 00:52:59.999000+00:00,63809.7,63809.7,63760.1,63796.5,112.707,38.871,2647
2026-07-17 00:53:59.999000+00:00,63796.5,63832.8,63792.4,63829.6,56.024,43.883,1346
2026-07-17 00:54:59.999000+00:00,63829.5,63829.7,63801.5,63829.7,52.531,30.297,1766
2026-07-17 00:55:59.999000+00:00,63829.8,63850.0,63827.1,63827.7,60.764,41.201,1920
2026-07-17 00:56:59.999000+00:00,63827.8,63839.2,63798.0,63798.0,60.794,18.9,1499
2026-07-17 00:57:59.999000+00:00,63798.0,63799.3,63765.1,63799.3,120.507,35.419,2176
2026-07-17 00:58:59.999000+00:00,63799.3,63859.4,63799.3,63855.6,96.315,59.468,2299
2026-07-17 00:59:59.999000+00:00,63855.6,63862.9,63840.0,63862.9,75.978,34.759,1656
2026-07-17 01:00:59.999000+00:00,63862.9,63876.1,63841.0,63868.0,87.386,56.143,2381
2026-07-17 01:01:59.999000+00:00,63868.0,63880.0,63852.8,63880.0,61.721,41.642,2259
2026-07-17 01:02:59.999000+00:00,63880.0,63975.5,63879.9,63926.9,388.386,305.068,9209
2026-07-17 01:03:59.999000+00:00,63927.0,63967.5,63917.4,63930.0,125.292,70.751,4019
2026-07-17 01:04:59.999000+00:00,63930.0,63933.8,63910.5,63910.5,72.813,25.552,1471
2026-07-17 01:05:59.999000+00:00,63910.6,63992.8,63896.3,63991.4,222.342,195.914,4068
2026-07-17 01:06:59.999000+00:00,63991.4,63997.7,63968.5,63987.5,122.913,84.888,3186
2026-07-17 01:07:59.999000+00:00,63987.6,63992.4,63980.0,63982.9,73.982,39.502,1898
2026-07-17 01:08:59.999000+00:00,63982.9,64041.6,63982.9,64041.5,259.47,206.433,4000
2026-07-17 01:09:59.999000+00:00,64041.6,64041.6,63973.3,64000.0,170.2,48.065,3088
2026-07-17 01:10:59.999000+00:00,63999.9,64017.6,63973.3,63973.4,54.38,21.765,2477
2026-07-17 01:11:59.999000+00:00,63973.3,63979.1,63937.8,63961.2,128.833,47.777,3179
2026-07-17 01:12:59.999000+00:00,63961.3,63975.0,63945.6,63949.4,43.402,20.96,2034
2026-07-17 01:13:59.999000+00:00,63949.3,63980.0,63949.3,63975.2,34.318,15.53,1807
2026-07-17 01:14:59.999000+00:00,63975.3,63975.3,63957.5,63963.8,37.653,18.017,1496
2026-07-17 01:15:59.999000+00:00,63963.8,63995.0,63939.6,63947.0,61.729,25.724,2493
2026-07-17 01:16:59.999000+00:00,63946.9,63959.9,63900.0,63924.0,214.886,72.005,4823
2026-07-17 01:17:59.999000+00:00,63924.0,63940.0,63911.0,63922.1,73.156,50.492,1970
